,totKgSupply,totKgDemand,x,y
126,331293963.01192325,637366245.9612211,107034.63572184974,501256.8300490249
127,93055075.6708539,136085056.50126234,107034.63572184974,507256.8300490249
128,1138231.0826596448,3470012.223638952,107034.63572184974,509256.8300490249
129,171008934.71213546,443726047.9093888,105034.63572184974,501256.8300490249
130,41815358.84819852,241217556.9189861,105034.63572184974,503256.8300490249
131,16464333.577084359,55979739.188283354,105034.63572184974,505256.8300490249
132,0.0,0.0,107034.63572184974,495256.8300490249
133,34846298.39785278,469792995.54109657,105034.63572184974,497256.8300490249
134,2786133.0237038657,73100803.95410094,107034.63572184974,497256.8300490249
135,108671511.11761469,213705051.7556554,105034.63572184974,499256.8300490249
136,98655941.29003109,225097807.11400363,107034.63572184974,499256.8300490249
137,0.0,0.0,109034.63572184974,497256.8300490249
138,0.0,0.0,109034.63572184974,499256.8300490249
139,35689951.036606215,141780868.54674235,111034.63572184974,489256.8300490249
140,8059639.31666067,452301880.5186882,113034.63572184974,489256.8300490249
141,0.0,129599090.8429984,113034.63572184974,491256.8300490249
142,0.0,27120502.334676992,111034.63572184974,491256.8300490249
143,5334346.9180012215,5019157.495238845,107034.63572184974,493256.8300490249
144,75340614.4967687,117785221.83037779,105034.63572184974,495256.8300490249
145,0.0,0.0,107034.63572184974,491256.8300490249
146,45945927.91827561,337865208.26438296,105034.63572184974,491256.8300490249
147,35475099.740428075,67351037.71177635,105034.63572184974,493256.8300490249
148,0.0,0.0,109034.63572184974,491256.8300490249
149,66971411.987943046,107057542.74601677,103034.63572184974,493256.8300490249
150,9702844.166010313,9499904.532630151,111034.63572184974,487256.8300490249
151,0.0,0.0,109034.63572184974,485256.8300490249
152,104756046.65633164,357770880.4003004,113034.63572184974,485256.8300490249
153,0.0,0.0,111034.63572184974,485256.8300490249
154,274748.57797426335,7490038.264846601,113034.63572184974,487256.8300490249
155,97977587.75872678,298168647.906971,103034.63572184974,497256.8300490249
156,9166143.35108472,870192891.8385973,103034.63572184974,499256.8300490249
157,17773189.176984854,12608773.412521763,103034.63572184974,495256.8300490249
158,128173912.93504164,146793504.96286932,103034.63572184974,489256.8300490249
159,48964788.91584673,649499960.4983287,105034.63572184974,489256.8300490249
160,141031103.93867388,287502438.4003707,103034.63572184974,491256.8300490249
161,273426404.6120287,1072067160.248227,115034.63572184974,487256.8300490249
162,0.0,0.0,109034.63572184974,487256.8300490249
163,0.0,0.0,109034.63572184974,489256.8300490249
164,21735608.564543206,19206507.869881652,107034.63572184974,487256.8300490249
165,3441172.9799657627,71561559.35485671,107034.63572184974,489256.8300490249
166,9670134.890454508,20353488.93789512,101034.63572184974,495256.8300490249
167,108490341.18993594,131827214.6460718,101034.63572184974,497256.8300490249
168,9601979.194971226,918922292.0956483,101034.63572184974,499256.8300490249
169,0.0,33956678.87551119,103034.63572184974,501256.8300490249
170,169181976.513916,352309419.3231715,105034.63572184974,487256.8300490249
171,34505191.4838667,63792432.26694356,103034.63572184974,487256.8300490249
172,174371446.18523186,242737874.07741702,105034.63572184974,485256.8300490249
173,171725748.17520094,230618721.77237165,107034.63572184974,481256.8300490249
174,249074802.41862848,320193713.3429155,105034.63572184974,481256.8300490249
175,0.0,0.0,107034.63572184974,483256.8300490249
176,5129525.39592541,382006828.65600324,105034.63572184974,483256.8300490249
177,97280403.85244446,107813235.56075226,107034.63572184974,485256.8300490249
178,0.0,25467509.156633392,103034.63572184974,503256.8300490249
179,85724906.8513641,104934000.8817447,105034.63572184974,507256.8300490249
180,0.0,0.0,99034.63572184974,501256.8300490249
181,419637.3556042021,18681814.5780947,101034.63572184974,501256.8300490249
182,0.0,0.0,141034.63572184977,467256.8300490249
183,0.0,0.0,143034.63572184977,467256.8300490249
184,77045600.2225497,106581665.14929852,139034.63572184977,469256.8300490249
185,280561190.07399064,401880761.63971984,141034.63572184977,469256.8300490249
186,27348542.82440286,46687462.83200526,143034.63572184977,469256.8300490249
187,9686783.657687383,6621193.826124396,139034.63572184977,471256.8300490249
188,430911886.5277965,392072631.29124784,141034.63572184977,471256.8300490249
189,56578700.784331046,184133543.0492073,143034.63572184977,471256.8300490249
190,0.0,0.0,143034.63572184977,473256.8300490249
191,146531924.6139593,254770118.33704236,141034.63572184977,473256.8300490249
192,0.0,0.0,139034.63572184977,473256.8300490249
193,11809932.265919955,32746139.70887238,137034.63572184974,467256.8300490249
194,41087852.970239654,56176483.67574789,137034.63572184974,469256.8300490249
195,5339275.724735504,3743593.807445828,139034.63572184977,467256.8300490249
196,0.0,0.0,137034.63572184974,471256.8300490249
197,0.0,0.0,135034.63572184974,469256.8300490249
198,0.0,0.0,135034.63572184974,471256.8300490249
199,134478065.08023325,166815199.91115183,139034.63572184977,475256.8300490249
200,76729158.91996932,92038107.23522158,141034.63572184977,475256.8300490249
201,0.0,0.0,135034.63572184974,467256.8300490249
202,0.0,0.0,137034.63572184974,473256.8300490249
203,0.0,0.0,135034.63572184974,473256.8300490249
204,20830499.00527611,49145235.916119345,137034.63572184974,475256.8300490249
205,14125529.064920206,20642482.015225403,131034.63572184974,471256.8300490249
206,0.0,0.0,131034.63572184974,473256.8300490249
207,0.0,0.0,133034.63572184974,469256.8300490249
208,0.0,0.0,133034.63572184974,471256.8300490249
209,0.0,0.0,133034.63572184974,473256.8300490249
210,7857995.940751683,19093336.74362551,129034.63572184974,467256.8300490249
211,0.0,0.0,131034.63572184974,467256.8300490249
212,0.0,0.0,129034.63572184974,469256.8300490249
213,0.0,0.0,131034.63572184974,469256.8300490249
214,0.0,0.0,133034.63572184974,467256.8300490249
215,0.0,0.0,135034.63572184974,475256.8300490249
216,0.0,0.0,137034.63572184974,477256.8300490249
217,0.0,0.0,135034.63572184974,477256.8300490249
218,0.0,0.0,131034.63572184974,475256.8300490249
219,0.0,0.0,133034.63572184974,475256.8300490249
220,1999954.839046189,3611475.2322064573,129034.63572184974,471256.8300490249
221,53622089.472129054,91708010.51418515,143034.63572184977,485256.8300490249
222,160702780.33316234,515586719.9860702,141034.63572184977,485256.8300490249
223,253134647.39426547,251946132.844866,141034.63572184977,487256.8300490249
224,106216158.43487158,165670042.70914835,143034.63572184977,487256.8300490249
225,223211037.12220657,287070363.29303986,141034.63572184977,489256.8300490249
226,9484852.217972372,18993899.95255698,143034.63572184977,489256.8300490249
227,391444933.8563128,993196493.710949,139034.63572184977,485256.8300490249
228,0.0,0.0,139034.63572184977,487256.8300490249
229,83076498.83550647,178280489.54280743,143034.63572184977,483256.8300490249
230,27495178.854752034,175879072.45635074,141034.63572184977,483256.8300490249
231,67604009.28746107,1535547231.915884,139034.63572184977,483256.8300490249
232,3716561.052073476,50334657.702088684,137034.63572184974,483256.8300490249
233,18440466.91990099,27189170.967793453,137034.63572184974,485256.8300490249
234,0.0,0.0,137034.63572184974,487256.8300490249
235,11084476.689549686,28804474.228327435,139034.63572184977,481256.8300490249
236,0.0,0.0,137034.63572184974,479256.8300490249
237,0.0,0.0,135034.63572184974,479256.8300490249
238,22580466.252529275,33266540.277859963,137034.63572184974,481256.8300490249
239,0.0,0.0,135034.63572184974,481256.8300490249
240,0.0,0.0,135034.63572184974,483256.8300490249
241,0.0,0.0,141034.63572184977,481256.8300490249
242,0.0,0.0,137034.63572184974,489256.8300490249
243,12779231.717234503,22321086.245180972,139034.63572184977,489256.8300490249
244,0.0,0.0,139034.63572184977,491256.8300490249
245,0.0,0.0,143034.63572184977,491256.8300490249
246,3015343.360941194,3754578.6407244466,141034.63572184977,491256.8300490249
247,0.0,0.0,141034.63572184977,493256.8300490249
248,0.0,0.0,143034.63572184977,493256.8300490249
249,12017028.071452023,28145375.73221586,139034.63572184977,479256.8300490249
250,299144130.3312515,1946156062.1660657,131034.63572184974,481256.8300490249
251,423291.2002156484,21175225.365291838,129034.63572184974,481256.8300490249
252,0.0,0.0,131034.63572184974,483256.8300490249
253,0.0,56019351.39273221,129034.63572184974,483256.8300490249
254,0.0,95531953.01243633,133034.63572184974,481256.8300490249
255,943940.7101073682,106888153.04919174,133034.63572184974,483256.8300490249
256,2548774.0240957243,2653695.4675330203,143034.63572184977,475256.8300490249
257,240004351.1224057,275397718.1962218,139034.63572184977,477256.8300490249
258,0.0,0.0,143034.63572184977,477256.8300490249
259,156086254.04001963,220830411.04265475,141034.63572184977,477256.8300490249
260,0.0,0.0,143034.63572184977,479256.8300490249
261,4800136.742744124,57936426.90155065,141034.63572184977,479256.8300490249
262,48886549.58422087,200297004.90229794,131034.63572184974,479256.8300490249
263,15287236.775554417,85905177.50050342,129034.63572184974,479256.8300490249
264,12194266.914544037,13157449.001605479,133034.63572184974,479256.8300490249
265,0.0,0.0,133034.63572184974,477256.8300490249
266,8344383.660455398,12671418.185205728,131034.63572184974,477256.8300490249
267,217560809.80921325,836450040.5606325,127034.63572184974,479256.8300490249
268,568792098.3879062,1144451297.3470063,127034.63572184974,481256.8300490249
269,0.0,0.0,127034.63572184974,469256.8300490249
270,0.0,0.0,127034.63572184974,471256.8300490249
271,36252667.49107731,202940079.92546162,127034.63572184974,483256.8300490249
272,15790931.35226087,56186327.87395615,127034.63572184974,485256.8300490249
273,44326945.77401094,147165608.03287604,129034.63572184974,485256.8300490249
274,231391196.59550363,849492428.6394136,125034.63572184974,485256.8300490249
275,0.0,0.0,131034.63572184974,485256.8300490249
276,0.0,0.0,129034.63572184974,487256.8300490249
277,40766562.460661545,224279873.24793175,125034.63572184974,483256.8300490249
278,557687300.0283182,767797905.6871305,125034.63572184974,481256.8300490249
279,0.0,0.0,125034.63572184974,477256.8300490249
280,126536419.24317385,359089970.92536426,125034.63572184974,479256.8300490249
281,0.0,0.0,123034.63572184974,479256.8300490249
282,109246740.34841882,794050916.5531352,127034.63572184974,477256.8300490249
283,0.0,130392340.76836796,123034.63572184974,481256.8300490249
284,2902763.5036486546,3098290.543199787,125034.63572184974,475256.8300490249
285,56536490.72959256,82296593.24834648,127034.63572184974,475256.8300490249
286,0.0,0.0,123034.63572184974,477256.8300490249
287,413737241.24663293,806812418.0921291,123034.63572184974,485256.8300490249
288,270961358.73603743,352997641.5802861,123034.63572184974,487256.8300490249
289,182174341.7688717,931130072.0537764,123034.63572184974,483256.8300490249
290,847573332.2867856,1001321014.1804101,121034.63572184974,483256.8300490249
291,241459608.5881734,197340413.35326827,121034.63572184974,485256.8300490249
292,119533649.74873346,180782777.12662947,121034.63572184974,487256.8300490249
293,2294627.4628731925,63168997.20729859,121034.63572184974,481256.8300490249
294,321161393.61115175,750296701.3221582,119034.63572184974,483256.8300490249
295,435120651.52477485,1105603877.614402,119034.63572184974,485256.8300490249
296,745526854.6483473,1736295124.9214764,117034.63572184974,485256.8300490249
297,82597879.4080815,335582514.8531859,117034.63572184974,483256.8300490249
298,40683406.26708144,113324268.18801597,119034.63572184974,477256.8300490249
299,47507126.412747055,219283031.66722542,119034.63572184974,479256.8300490249
300,0.0,0.0,121034.63572184974,477256.8300490249
301,0.0,0.0,121034.63572184974,479256.8300490249
302,100369492.28778946,185792299.94269812,119034.63572184974,481256.8300490249
303,4474609.1932205,5527034.761553331,127034.63572184974,473256.8300490249
